,distrito,ano,quarter,precio
332,Usera,2012,2,9.51626069876602
333,Vicálvaro,2012,2,8.89844492051179
334,Villa De Vallecas,2012,2,9.2293545299022
335,Villaverde,2012,2,9.24049307040604
336,Arganzuela,2012,3,11.5045891449654
337,Barajas,2012,3,10.4680555656831
338,Carabanchel,2012,3,9.60356401695737
339,Centro,2012,3,14.095542813787
340,Chamartín,2012,3,12.6963618108726
341,Chamberí,2012,3,13.9436088323438
342,Ciudad Lineal,2012,3,10.9573121932268
343,Fuencarral,2012,3,10.2977427349984
344,Hortaleza,2012,3,11.5388178344925
345,Latina,2012,3,9.58415720967577
346,Moncloa,2012,3,12.4319677961928
347,Moratalaz,2012,3,9.21019288823939
348,Puente De Vallecas,2012,3,9.62875478817707
349,Retiro,2012,3,12.1674348332068
350,Salamanca,2012,3,14.1364219317003
351,San Blas,2012,3,10.2648909311001
352,Tetuan,2012,3,11.2364397663607
353,Usera,2012,3,9.09206663803898
354,Vicálvaro,2012,3,8.96157570103528
355,Villa De Vallecas,2012,3,9.34039000849991
356,Villaverde,2012,3,8.93261339704957
357,Arganzuela,2012,4,11.2633522134569
358,Barajas,2012,4,10.3760597311235
359,Carabanchel,2012,4,9.4281733261293
360,Centro,2012,4,13.9560688230609
361,Chamartín,2012,4,12.5200942206228
362,Chamberí,2012,4,13.3301470879161
363,Ciudad Lineal,2012,4,10.8892609668829
364,Fuencarral,2012,4,10.0728469745348
365,Hortaleza,2012,4,11.3970480455694
366,Latina,2012,4,9.42874338363349
367,Moncloa,2012,4,12.2926889177453
368,Moratalaz,2012,4,8.93473736965066
369,Puente De Vallecas,2012,4,9.55043147394587
370,Retiro,2012,4,11.9513173745868
371,Salamanca,2012,4,14.3089448324849
372,San Blas,2012,4,9.7311412226694
373,Tetuan,2012,4,11.0605195777613
374,Usera,2012,4,9.22898560764347
375,Vicálvaro,2012,4,8.69394144819499
376,Villa De Vallecas,2012,4,9.16920633662819
377,Villaverde,2012,4,9.0595459838914
378,Arganzuela,2013,1,11.2357607094677
379,Barajas,2013,1,10.4066671271389
380,Carabanchel,2013,1,9.15628252189198
381,Centro,2013,1,13.7044674589368
382,Chamartín,2013,1,12.258727926749
383,Chamberí,2013,1,13.0721729243703
384,Ciudad Lineal,2013,1,10.393237928017
385,Fuencarral,2013,1,9.99951145471179
386,Hortaleza,2013,1,11.3358198230437
387,Latina,2013,1,9.03532193577828
388,Moncloa,2013,1,11.561936087069
389,Moratalaz,2013,1,8.92897555999387
390,Puente De Vallecas,2013,1,9.16421604708088
391,Retiro,2013,1,11.4316859385104
392,Salamanca,2013,1,13.5356783233938
393,San Blas,2013,1,9.54678814048909
394,Tetuan,2013,1,10.6655254343339
395,Usera,2013,1,9.03458610798683
396,Vicálvaro,2013,1,8.57406277291481
397,Villa De Vallecas,2013,1,9.03346239789739
398,Villaverde,2013,1,8.41400496356517
399,Arganzuela,2013,2,11.0083457797019
400,Barajas,2013,2,10.2963256087653
401,Carabanchel,2013,2,9.02002835347907
402,Centro,2013,2,13.4982801363511
403,Chamartín,2013,2,12.0621655430013
404,Chamberí,2013,2,12.9942812453129
405,Ciudad Lineal,2013,2,10.2022445018551
406,Fuencarral,2013,2,10.0321486413258
407,Hortaleza,2013,2,10.8870841566393
